,name,position,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
0,B Witt Jr.,SS,KC,161,636,125,211,45,11,32,109,57,106,31,12,0.332,0.389,0.588,0.977
1,L Arraez,1B,SD,150,637,83,200,32,3,4,46,24,29,9,3,0.314,0.346,0.392,0.738
2,V Guerrero Jr.,1B,TOR,159,616,98,199,44,1,30,103,72,96,2,2,0.323,0.396,0.544,0.94
3,S Ohtani,DH,LAD,159,636,134,197,38,7,54,130,81,162,59,4,0.31,0.39,0.646,1.036
4,J Duran,CF,BOS,160,671,111,191,48,14,21,75,54,160,34,7,0.285,0.342,0.492,0.834
5,J Altuve,2B,HOU,153,628,94,185,31,0,20,65,47,119,22,7,0.295,0.35,0.439,0.789
6,M Ozuna,DH,ATL,162,606,96,183,31,0,39,104,74,170,1,0,0.302,0.378,0.546,0.924
7,A Judge,CF,NYY,158,559,122,180,36,1,58,144,133,171,10,0,0.322,0.458,0.701,1.159
8,G Henderson,SS,BAL,159,630,118,177,31,7,37,92,78,159,21,4,0.281,0.364,0.529,0.893
9,E Tovar,SS,COL,157,655,83,176,45,4,26,78,23,200,6,5,0.269,0.295,0.469,0.764
10,Y Diaz,C,HOU,148,585,70,175,29,3,16,84,24,107,2,0,0.299,0.325,0.441,0.766
11,J Ramírez,3B,CLE,158,620,114,173,39,2,39,118,54,82,41,7,0.279,0.335,0.537,0.872
12,B Reynolds,LF,PIT,156,622,73,171,29,3,24,88,57,156,10,2,0.275,0.344,0.447,0.791
13,Y Alvarez,DH,HOU,147,552,88,170,34,2,35,86,69,95,6,0,0.308,0.392,0.567,0.959
14,F Lindor,SS,NYM,152,618,107,169,39,1,33,91,56,127,29,4,0.273,0.344,0.5,0.844
15,W Contreras,C,MIL,155,595,99,167,37,2,23,92,78,139,9,2,0.281,0.365,0.466,0.831
16,J Soto,RF,NYY,157,576,128,166,31,4,41,109,129,119,7,4,0.288,0.419,0.569,0.988
17,B Donovan,LF,STL,153,587,65,163,34,3,14,73,47,81,5,5,0.278,0.342,0.417,0.759
18,M Machado,3B,SD,152,593,77,163,30,0,29,105,45,124,11,2,0.275,0.325,0.472,0.797
19,J Merrill,CF,SD,156,554,77,162,31,6,24,90,29,101,16,3,0.292,0.326,0.5,0.826
20,E De La Cruz,SS,CIN,160,618,105,160,36,10,25,76,69,218,67,16,0.259,0.339,0.471,0.81
21,T Hernández,LF,LAD,154,589,84,160,32,2,33,99,53,188,12,3,0.272,0.339,0.501,0.84
22,S Perez,C,KC,158,590,58,160,28,0,27,104,44,129,0,0,0.271,0.33,0.456,0.786
23,J Peña,SS,HOU,157,602,78,160,28,2,15,70,25,111,20,6,0.266,0.308,0.394,0.702
24,B Rooker,DH,OAK,145,546,82,160,26,2,39,112,59,177,11,3,0.293,0.365,0.562,0.927
25,N Hoerner,2B,CHC,151,582,86,159,35,1,7,48,44,66,31,6,0.273,0.335,0.373,0.708
26,Y Díaz,1B,TB,145,563,55,158,31,1,14,65,50,95,0,0,0.281,0.341,0.414,0.755
27,J Profar,LF,SD,158,564,94,158,29,0,24,85,76,101,10,3,0.28,0.38,0.459,0.839
28,N Arenado,3B,STL,152,578,70,157,23,0,16,71,44,92,2,2,0.272,0.325,0.394,0.719
29,B Harper,1B,PHI,145,550,85,157,42,0,30,87,76,138,7,4,0.285,0.373,0.525,0.898
30,M Winn,SS,STL,150,587,85,157,32,5,15,57,41,109,11,5,0.267,0.314,0.416,0.73
31,A Bohm,3B,PHI,143,554,62,155,44,2,15,97,40,86,5,2,0.28,0.332,0.448,0.78
32,J Rodríguez,CF,SEA,143,567,76,155,17,0,20,68,38,156,24,5,0.273,0.325,0.409,0.734
33,A Volpe,SS,NYY,160,637,90,155,27,7,12,60,42,156,28,7,0.243,0.293,0.364,0.657
34,N Castellanos,RF,PHI,162,606,80,154,30,4,23,86,41,139,6,2,0.254,0.311,0.431,0.742
35,M Semien,2B,TEX,159,650,101,154,27,2,23,74,64,105,8,3,0.237,0.308,0.391,0.699
36,W Adames,SS,MIL,161,610,93,153,33,0,32,112,74,173,21,4,0.251,0.331,0.462,0.793
37,F Freeman,1B,LAD,147,542,81,153,35,2,22,89,78,100,9,2,0.282,0.378,0.476,0.854
38,A Bregman,3B,HOU,145,581,79,151,30,2,26,75,44,86,3,1,0.26,0.315,0.453,0.768
39,G Torres,2B,NYY,154,587,80,151,26,0,15,63,65,136,4,3,0.257,0.33,0.378,0.708
40,T Turner,SS,PHI,121,505,88,149,25,0,21,62,27,98,19,4,0.295,0.338,0.469,0.807
41,M Olson,1B,ATL,162,600,78,148,37,1,29,98,71,170,0,0,0.247,0.333,0.457,0.79
42,A Burleson,DH,STL,152,547,71,147,20,0,21,78,35,76,9,4,0.269,0.314,0.42,0.734
43,A Gimenez,2B,CLE,152,583,64,147,22,1,9,63,26,97,30,5,0.252,0.298,0.34,0.638
44,P Goldschmidt,1B,STL,154,599,70,147,33,1,22,65,47,173,11,0,0.245,0.302,0.414,0.716
45,K Marte,2B,AZ,136,504,93,147,23,2,36,95,65,106,7,1,0.292,0.372,0.56,0.932
46,P Alonso,1B,NYM,162,608,91,146,31,0,34,88,70,172,3,0,0.24,0.329,0.459,0.788
47,E Suárez,3B,AZ,158,571,90,146,28,2,30,101,49,176,2,1,0.256,0.319,0.469,0.788
48,J Chourio,LF,MIL,148,528,80,145,29,4,21,79,39,121,22,7,0.275,0.327,0.464,0.791
49,S Suzuki,RF,CHC,132,512,74,145,27,6,21,73,63,160,16,6,0.283,0.366,0.482,0.848
50,J Chisholm Jr.,3B,NYY,147,562,74,144,21,4,24,73,53,152,40,10,0.256,0.324,0.436,0.76
51,T Ward,LF,LAA,156,585,73,144,26,2,25,75,63,163,6,4,0.246,0.323,0.426,0.749
52,R Devers,3B,BOS,138,525,87,143,34,5,28,83,67,147,3,0,0.272,0.354,0.516,0.87
53,L Gurriel Jr.,LF,AZ,133,513,72,143,22,2,18,75,29,101,7,1,0.279,0.322,0.435,0.757
54,A Rutschman,C,BAL,148,571,68,143,21,1,19,79,58,103,1,0,0.25,0.318,0.391,0.709
55,M Chapman,3B,SF,154,575,98,142,39,2,27,78,64,158,15,2,0.247,0.328,0.463,0.791
56,K Schwarber,DH,PHI,150,573,110,142,22,0,38,104,106,197,5,3,0.248,0.366,0.485,0.851
57,B Turang,2B,MIL,155,559,72,142,24,4,7,57,50,105,50,6,0.254,0.316,0.349,0.665
58,B Doyle,CF,COL,149,542,82,141,24,4,23,72,46,153,30,5,0.26,0.317,0.446,0.763
59,L García Jr.,2B,WSH,140,500,58,141,25,1,18,70,27,86,22,5,0.282,0.318,0.444,0.762
60,O Cruz,SS,PIT,146,541,72,140,34,3,21,76,51,181,22,1,0.259,0.324,0.449,0.773
61,S Kwan,LF,CLE,122,480,83,140,16,3,14,44,53,51,12,5,0.292,0.368,0.425,0.793
